smiles,pKi
CCOC(=O)c1c2CCCCc2sc1NS(=O)(=O)c3ccccc3,5.700
O=C(CCCC(=O)\C=C\c1ccc2ccccc2c1)NC3CC3,5.690
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccccc3,7.959
FC(F)(F)CCCS(=O)(=O)Oc1ccc2c(oc3c(C#N)c(ccc23)C(F)(F)F)c1,6.499
CCCCCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c5cc(Br)ccc15,6.770
CCOc1ccc(Cc2nc3cc(ccc3n2CCC(C)C)[N+](=O)[O-])cc1,6.017
CCCCN1C=C(C(=O)NC2CCCCC2)C(=O)c3c(C)nn(C)c13,6.860
CCCC1(CNS(=O)(=O)C(F)(F)F)CCN(CC1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccc3F,8.268
CO\N=C(/c1ccc(cc1)[C@H](C)NS(=O)(=O)C)\c2ccc(Cl)cc2S(=O)(=O)c3ccc(Cl)cc3,6.391
CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(CC(=O)OCCCCBr)cc3OC2(C)C,8.149
C[C@H](NS(=O)(=O)C)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2C(C)(O)c3ccc(Cl)cc3,6.638
Clc1ccc(CN2C=C(C(=O)c3cccc4ccccc34)C(=O)c5ccccc25)cc1,5.951
OC(=O)C1(CCCCC1)NC(=O)C2=CC3=C(CCCCCC3)N(CC4CCCO4)C2=O,6.607
O=C(N[C@@H]1CCCc2ccccc12)N3C(=O)N(CCN4CCOCC4)c5ccccc35,8.155
C[C@H](NS(=O)(=O)C)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccc(Cl)cc3,8.000
CC(=O)SC(CCc1ccccc1)[C@@H]2[C@H](N(C2=O)c3ccc(F)cc3)c4ccc(O)cc4,6.550
CC(C)(C)[C@H](NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13)C(=O)N,8.301
COc1ccc(COc2nn(CCN(C(C)C)C(C)C)c3ccc(cc23)[N+](=O)[O-])cc1,5.046
CCCCCn1cc(C(=O)Cc2ccccc2Br)c3ccccc13,7.699
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCc1cc(OC)ccc1OC,5.387
CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Cc2c1,6.854
